jiwer;50;0.8554152331115186
fastwer;50;131.8671
CER;50;91.8161
jiwer;25;0.9327963081233647
fastwer;25;165.6595
CER;25;121.7596
jiwer;35;0.9113908403551783
fastwer;35;136.7396
CER;35;99.908
jiwer;15;0.9823433685923515
fastwer;15;108.9156
CER;15;80.6836
jiwer;25_swissdial;0.9109031733116355
fastwer;25_swissdial;149.7864
CER;25_swissdial;96.8044
jiwer;50;0.8554152331115186fastwer;50;131.8671CER;50;91.8161jiwer;50;0.8554152331115186fastwer;50;131.8671CER;50;91.8161jiwer;50;0.8554152331115186fastwer;50;131.8671CER;50;91.8161jiwer;25;0.9327963081233647fastwer;25;165.6595CER;25;121.7596jiwer;35;0.9113908403551783fastwer;35;136.7396CER;35;99.908jiwer;15;0.9823433685923515fastwer;15;108.9156CER;15;80.6836jiwer;25_swissdial;0.9109031733116355fastwer;25_swissdial;149.7864CER;25_swissdial;96.8044
