330;31.8371
250;32.7701
90;41.4231
85;42.193
125;37.8499
290;31.9726
130;37.3235
440;32.3095
450;31.6545
120;37.644
280;31.968
95;40.3951
80;44.8678
240;32.3101
320;32.4587
390;31.8578
150;38.4983
420;32.062
350;32.0435
230;32.2062
190;33.3815
345;32.852
180;35.1113
220;33.0802
340;32.2871
430;32.5413
140;35.8429
380;31.7053
400;31.4795
170;34.4828
210;33.2025
370;32.2206
360;31.9557
200;33.4407
160;36.2891
410;32.6114
270;31.8661
310;32.241
460;31.6805
110;38.289
65;51.9088
70;47.4554
105;40.6085
115;38.5314
60;49.4468
75;45.1739
100;39.0242
470;32.482
300;31.7993
260;31.9273
